"name_key","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
76,21,24,33,49,29,23,7,22,1,37
77,28,34,43,7,45,2,15,13,50,42
78,28,17,13,38,11,18,7,8,40,14
79,4,23,2,34,6,42,21,47,45,7
80,27,44,1,45,19,13,4,5,10,8
81,29,2,48,13,14,1,46,34,35,21
82,16,37,5,13,1,22,15,32,14,20
83,7,39,41,49,30,38,1,2,46,12
84,13,34,46,5,39,9,42,8,36,49
85,20,9,27,24,49,39,4,45,40,30
86,25,27,44,39,9,16,11,48,33,42
87,5,2,7,4,16,9,47,41,1,39
88,24,23,21,28,5,34,44,49,37,26
89,32,11,28,22,13,44,26,17,50,4
90,43,30,11,26,2,46,29,16,42,17
91,33,26,16,14,29,20,12,3,32,5
92,24,30,15,17,6,8,35,7,3,1
93,12,35,27,11,29,6,44,22,42,7
94,48,19,40,12,45,20,47,31,35,10
95,6,19,47,25,5,40,28,20,18,2
96,9,31,6,30,32,16,18,45,28,26
97,26,50,17,10,47,18,8,44,16,12
98,14,15,48,35,41,3,23,50,34,49
99,39,33,45,20,12,36,9,17,34,25
100,10,41,27,14,46,45,16,43,24,44
101,49,37,41,27,5,43,10,16,45,32
102,2,8,44,40,30,27,31,10,4,33
103,34,43,1,20,38,9,17,24,6,40
104,6,18,36,11,27,40,1,17,5,26
105,4,2,32,45,28,17,6,16,18,38
106,12,34,16,22,20,26,1,13,46,24
107,32,49,16,29,36,47,42,13,46,10
108,41,40,7,6,29,26,32,19,18,47
109,16,41,6,3,40,47,7,30,37,36
110,37,8,22,45,40,11,6,2,7,35
111,49,7,32,13,31,30,38,40,2,18
112,10,13,21,49,33,5,17,14,36,15
113,24,26,2,16,9,49,4,31,46,10
114,8,41,25,31,12,33,50,11,15,20
115,24,38,11,45,25,26,22,28,12,48
116,48,31,27,11,24,40,22,44,6,33
117,32,31,33,45,38,16,34,23,4,43
118,25,23,7,18,35,9,36,30,44,34
119,29,3,50,20,11,10,17,44,9,45
120,27,47,38,26,20,50,31,37,21,11
121,21,11,23,2,43,28,12,13,24,49
122,28,7,2,43,1,31,46,40,22,10
123,26,34,45,4,48,38,11,29,32,33
124,14,41,29,31,28,27,44,25,35,47
125,16,13,29,25,26,36,18,43,24,50
126,23,35,47,43,10,15,26,29,2,40
127,4,19,15,8,5,18,3,41,38,43
128,49,9,19,8,31,43,22,11,18,26
129,41,14,48,49,25,17,45,36,46,39
130,10,49,2,33,50,42,36,25,28,34
131,44,7,8,2,3,19,29,16,10,23
132,47,49,8,14,13,9,28,17,22,5
133,48,25,18,4,22,6,32,45,28,27
134,6,5,48,13,40,39,31,7,21,19
135,17,33,12,15,14,45,32,8,21,50
136,5,20,3,7,49,31,34,28,11,4
137,21,3,49,1,13,31,39,41,29,43
138,12,7,29,1,21,33,8,16,24,39
139,3,26,24,34,33,41,29,15,31,21
140,23,41,46,44,24,39,27,49,5,50
141,13,12,50,45,39,42,17,48,11,29
142,34,7,4,31,6,48,32,30,49,40
143,15,49,26,31,17,22,20,38,47,18
144,50,24,15,46,21,6,45,38,33,19
145,48,24,13,21,3,23,41,31,2,38
146,21,40,49,7,38,39,32,2,30,14
147,6,44,30,8,22,23,31,5,7,29
148,43,12,37,33,8,22,17,26,4,6
149,6,25,7,47,1,42,3,19,9,17
150,10,46,30,11,37,32,49,14,16,43
151,6,3,4,35,16,49,30,40,32,46
152,8,18,15,50,4,38,37,25,21,26
153,5,37,19,8,16,36,44,49,34,12
154,4,44,3,16,29,34,49,45,14,25
155,1,33,48,44,3,43,45,39,9,19
156,7,12,48,50,13,40,49,46,42,3
157,1,27,35,32,7,46,18,36,40,23
158,46,25,29,34,2,6,17,28,26,3
159,6,50,25,5,21,35,29,20,16,2
160,8,18,27,40,38,20,3,42,39,6
161,48,39,14,32,29,44,11,20,50,15
162,34,9,12,18,42,8,31,11,1,30
163,29,50,34,38,47,13,23,7,10,1
164,32,50,46,7,1,24,15,12,16,42
165,32,43,5,10,47,20,36,21,15,31
166,36,41,21,44,48,35,16,6,23,3
167,28,45,4,12,46,10,19,34,23,33
168,30,10,26,14,42,18,11,7,8,46
169,2,12,18,8,49,50,29,25,7,48
170,47,39,17,33,18,19,48,13,10,46
171,43,19,45,14,2,36,40,33,37,49
172,42,46,3,6,33,22,30,31,27,4
173,11,23,28,45,17,13,47,27,9,12
174,1,24,16,32,9,5,26,7,46,33
175,11,43,26,16,34,39,14,24,1,33
176,2,45,9,13,49,11,19,1,39,26
177,2,45,49,7,48,23,47,27,20,39
178,27,22,1,35,33,40,2,37,42,28
179,32,26,4,47,28,6,15,44,33,39
180,7,46,36,24,37,45,22,18,33,16
181,32,5,46,7,45,34,14,21,2,16
182,6,34,18,11,30,39,25,49,32,7
183,26,1,46,31,7,40,23,13,30,39
184,40,49,33,23,11,9,16,41,25,15
185,26,49,22,45,11,47,23,21,34,10
186,12,28,17,15,10,46,13,4,24,29
187,6,44,35,1,21,8,7,4,31,13
188,3,36,27,38,29,16,35,12,24,17
189,37,18,28,14,30,31,44,22,50,1
190,33,8,25,19,14,15,16,30,42,22
191,29,14,42,5,16,26,3,22,13,11
192,42,11,12,50,16,13,37,8,19,31
193,16,44,50,20,14,49,18,1,30,11
194,6,48,22,35,43,27,5,49,26,34
195,24,43,3,38,10,32,4,16,17,49
196,42,50,17,48,6,8,16,5,7,29
197,46,30,50,45,26,25,9,33,18,29
198,49,47,48,31,30,26,13,24,17,12
199,11,10,33,31,13,9,48,44,47,37
200,37,7,26,40,6,47,45,17,12,13
201,7,3,28,49,1,38,31,29,26,35
202,18,25,47,26,28,14,12,45,3,22
203,12,28,25,10,6,49,42,36,29,44
204,47,26,28,6,11,7,17,22,36,9
205,26,47,23,42,39,31,5,43,20,22
206,39,7,48,47,26,10,17,25,4,32
207,42,22,47,35,41,50,39,30,19,49
208,23,32,42,48,3,49,40,20,46,27
209,13,34,30,15,9,11,6,22,10,25
210,24,16,10,41,8,44,4,40,18,48
211,1,30,28,13,22,5,27,40,34,36
212,10,29,49,35,41,19,18,17,36,42
213,43,32,30,1,48,23,38,18,5,37
214,23,39,47,6,20,37,35,16,34,25
215,31,10,23,27,9,8,50,40,44,7
216,8,15,48,33,4,43,27,14,13,18
217,20,22,29,26,13,7,45,37,16,30
218,6,47,28,27,30,16,13,22,10,9
219,41,36,29,4,33,38,23,12,34,24
220,27,37,10,25,47,24,41,4,32,38
221,19,25,42,18,6,37,10,38,34,22
222,18,39,46,45,6,10,1,34,40,49
223,33,40,12,26,43,8,14,19,22,4
224,48,34,6,50,22,42,25,37,45,26
225,38,4,9,26,34,27,33,2,48,3
226,20,35,37,8,31,26,16,49,43,13
227,35,20,6,42,39,7,47,43,24,18
228,25,13,10,26,2,7,39,40,37,5
229,12,5,26,24,48,35,37,36,22,23
230,8,36,42,17,26,3,37,46,6,50
231,41,47,35,18,13,49,43,45,42,22
232,7,31,49,29,18,6,5,15,25,40
233,34,24,46,4,42,50,17,20,25,23
234,15,41,43,29,16,2,36,14,26,1
235,48,47,35,39,30,2,28,13,50,36
236,43,27,41,19,18,30,40,34,31,36
237,29,32,45,17,14,13,50,47,33,23
238,43,24,47,15,6,27,29,46,3,16
239,47,13,46,1,26,43,19,25,28,42
240,37,40,49,16,25,21,42,45,30,5
241,19,9,31,17,21,5,16,27,47,45
242,29,25,8,2,20,11,22,9,39,21
243,41,18,9,19,49,44,3,20,48,27
244,5,37,17,45,23,39,6,24,31,44
245,31,29,40,50,19,46,49,23,1,5
246,36,46,19,2,24,49,32,20,39,38
247,45,38,3,20,31,19,28,6,40,34
248,41,17,5,4,43,19,10,6,37,30
249,18,32,19,50,20,31,8,6,33,7
250,36,37,49,32,4,46,18,50,43,16
251,17,14,26,18,9,21,31,46,36,2
252,17,43,10,42,36,27,20,18,3,23
253,37,30,40,14,21,39,32,13,9,2
254,24,2,44,1,9,19,38,28,26,50
255,21,14,12,31,48,11,15,47,39,44
256,16,24,14,40,20,37,39,12,29,8
257,47,15,38,43,22,28,50,13,26,40
258,38,4,42,16,22,44,10,30,35,9
259,17,21,20,27,14,39,41,36,3,8
260,38,3,44,2,42,48,27,22,29,21
261,18,46,39,13,21,17,27,41,22,35
262,34,35,49,41,39,44,12,6,14,9
263,10,1,34,23,32,30,3,17,35,8
264,18,11,43,26,3,10,34,38,27,36
265,23,10,20,45,28,27,16,39,9,47
266,18,21,1,39,41,27,46,25,29,44
267,48,3,4,31,9,20,25,21,37,26
268,6,12,2,43,28,4,24,15,46,25
269,21,25,19,38,1,47,45,28,17,40
270,12,35,50,46,3,20,24,2,49,34
271,15,20,12,44,6,2,9,18,27,13
272,17,8,14,19,38,2,9,20,7,6
273,49,32,45,27,50,34,37,41,3,44
274,21,1,5,29,32,9,38,2,43,8
275,15,30,21,18,35,17,40,34,33,2
276,16,26,37,8,14,10,28,29,17,42
277,39,36,25,15,47,28,21,42,23,20
278,30,9,15,47,7,37,43,40,22,5
279,5,14,44,13,23,16,34,29,24,10
280,29,41,31,32,45,19,33,48,39,50
281,25,12,32,38,17,44,40,21,5,23
282,25,4,43,15,50,31,33,46,37,29
283,17,31,14,33,9,28,32,34,48,20
284,4,28,13,34,27,47,16,1,48,22
285,28,40,32,24,34,13,8,29,46,49
286,45,21,15,37,50,41,1,38,16,46
287,8,43,1,24,31,10,9,2,23,14
288,40,2,49,20,4,32,3,22,13,14
289,23,8,36,46,9,48,28,30,5,38
290,10,26,36,50,17,43,49,18,15,16
291,4,50,23,8,28,42,19,32,5,45
292,16,11,18,38,42,43,19,7,32,36
293,17,19,10,2,15,25,22,6,1,40
294,23,43,4,15,47,2,49,10,40,20
295,29,18,9,6,23,25,21,26,27,35
296,24,42,43,12,5,6,29,48,25,32
297,16,3,19,29,23,25,45,40,21,33
298,47,24,50,18,4,8,49,13,9,42
299,42,41,27,44,11,29,3,16,33,40
300,24,33,43,34,15,29,9,28,11,19
301,30,1,6,4,32,31,41,50,2,39
302,3,45,14,11,15,38,37,40,22,2
303,5,21,46,32,2,31,18,20,37,26
304,42,17,32,25,27,13,36,29,47,34
305,22,15,49,20,44,32,31,40,25,30
306,20,3,21,4,28,32,22,30,50,11
307,41,36,4,24,12,26,17,14,6,47
308,40,6,4,25,15,34,30,39,3,41
309,25,41,7,31,19,35,18,40,44,39
310,44,30,21,48,26,45,7,40,41,18
311,32,31,44,40,8,34,38,13,37,42
312,9,44,33,43,13,30,31,20,1,36
313,12,32,40,26,2,33,43,11,1,46
314,46,38,12,36,48,19,43,35,28,49
315,41,4,42,26,44,20,30,28,16,2
316,37,19,24,47,30,23,3,35,28,6
317,26,18,7,5,19,4,1,8,46,21
318,29,31,17,48,6,11,47,20,27,14
319,34,22,39,5,25,43,9,3,15,41
320,45,11,28,32,17,46,42,26,24,5
321,4,7,19,43,35,31,49,6,23,44
322,7,28,34,43,50,33,17,31,9,29
323,43,34,26,8,16,24,17,31,35,10
324,6,43,46,14,36,27,3,15,20,21
325,46,8,13,4,14,25,5,44,32,33
326,32,26,13,50,48,39,25,46,17,42
327,7,12,46,50,8,6,45,34,27,11
328,49,13,48,50,36,41,2,42,16,15
329,5,34,49,21,13,25,41,43,37,28
330,21,1,47,36,35,37,38,26,48,19
331,36,7,48,16,34,19,24,47,27,8
332,24,48,38,6,27,9,13,21,7,39
333,35,33,32,48,41,20,9,16,1,38
334,22,7,13,11,49,28,25,36,47,34
335,26,41,49,29,10,5,47,24,37,33
336,1,31,8,2,6,36,22,37,11,49
337,45,19,13,29,42,3,38,7,9,41
338,16,17,1,6,2,4,42,36,47,41
339,23,31,16,39,21,25,17,14,50,46
340,19,13,43,35,17,16,18,39,36,9
341,24,11,48,21,37,12,14,33,25,45
342,45,29,3,5,21,11,27,30,48,32
343,6,21,48,23,4,30,39,20,11,27
344,19,35,24,17,25,9,50,37,16,31
345,4,33,28,39,8,19,13,36,32,26
346,37,22,39,40,3,16,41,1,35,49
347,11,16,2,19,26,5,29,21,20,17
348,15,48,10,29,47,4,20,9,1,39
349,32,6,45,25,7,14,24,30,1,42
350,43,49,26,1,18,34,13,21,35,12
351,25,12,5,10,39,7,43,26,18,6
352,45,39,5,32,2,4,31,38,33,7
353,35,27,31,24,22,48,38,43,44,19
354,50,10,9,24,35,1,25,37,40,11
355,1,26,49,21,36,46,24,32,6,14
356,12,14,3,7,46,10,5,23,39,27
357,34,16,48,35,6,11,2,41,3,26
358,28,25,35,15,36,47,34,42,30,23
359,24,48,35,8,34,28,25,1,36,20
360,32,12,4,37,39,45,21,3,2,11
361,17,50,33,6,7,32,38,20,3,11
362,12,36,11,25,41,13,19,47,35,32
363,13,43,21,14,44,37,3,41,4,20
364,21,49,9,4,5,28,46,14,16,47
365,26,6,3,48,14,50,40,16,34,2
366,48,25,4,3,14,30,33,20,16,7
367,1,40,27,46,44,26,35,7,36,3
368,33,5,35,34,37,46,28,49,47,45
369,16,45,26,21,6,5,2,4,50,31
370,23,11,35,31,1,12,5,10,32,47
371,7,33,32,15,12,29,42,41,17,37
372,6,23,45,20,34,7,22,25,39,31
373,17,7,12,49,2,22,1,31,47,27
374,43,6,19,23,11,7,15,39,27,20
375,7,46,50,27,47,21,43,12,40,13
376,23,12,1,36,35,47,5,33,10,9
377,50,29,20,36,2,4,37,3,38,26
378,39,30,34,17,27,40,33,9,14,22
379,3,47,40,41,48,42,9,26,18,35
380,50,38,23,17,15,32,22,29,25,27
381,35,45,31,8,27,19,39,22,29,23
382,36,2,1,30,23,48,26,47,8,37
383,32,28,9,20,41,10,24,17,30,31
384,31,42,26,28,40,46,5,12,22,13
385,3,25,49,37,33,18,10,46,27,45
386,6,45,30,50,33,10,21,41,5,17
387,46,20,21,50,13,26,39,2,7,49
388,1,39,22,8,6,47,36,50,3,18
389,29,5,26,38,35,6,36,42,30,20
390,46,36,27,28,20,43,17,48,34,47
391,5,13,14,49,22,48,37,43,38,47
392,24,29,13,33,7,45,36,16,26,43
393,10,9,48,35,13,34,7,12,20,4
394,44,50,26,36,46,41,5,25,27,11
395,41,8,17,34,45,32,13,16,35,43
396,14,8,26,48,30,3,33,40,27,31
397,5,13,20,42,46,4,44,35,19,11
398,24,13,3,41,37,30,44,45,22,14
399,30,2,44,13,4,45,29,22,7,20
400,29,39,27,36,3,12,10,23,33,48
401,30,45,19,44,4,42,38,10,18,21
402,21,36,39,42,8,38,7,23,49,48
403,27,32,1,25,4,7,3,36,11,21
404,1,48,3,30,6,44,32,9,49,43
405,11,50,46,20,7,48,31,6,28,10
406,9,24,16,42,40,35,2,18,10,32
407,23,16,19,11,44,39,46,4,38,9
408,17,21,9,13,11,37,10,3,16,7
409,37,45,39,19,26,1,6,18,9,34
410,10,43,45,40,13,5,15,49,48,34
411,25,8,30,21,23,31,13,34,3,2
412,7,38,8,12,16,46,2,43,31,10
413,1,22,46,19,20,45,28,9,16,36
414,3,49,13,10,11,44,21,20,2,43
415,29,2,31,14,27,4,3,17,13,49
416,45,21,2,42,22,16,12,33,32,28
417,29,48,21,12,46,6,9,33,20,30
418,31,35,25,5,26,4,28,15,37,33
419,21,11,16,12,36,8,5,47,29,48
420,40,4,7,23,26,24,27,8,38,10
421,15,44,26,21,23,14,49,36,20,13
422,18,46,48,17,12,27,3,45,21,23
423,17,45,39,16,37,46,1,43,15,5
424,11,8,21,50,6,41,34,19,47,46
425,13,32,39,23,31,7,3,44,19,12
426,31,30,38,33,7,20,28,41,45,40
427,25,27,9,43,34,6,41,13,18,5
428,37,23,33,9,17,15,21,18,31,7
429,3,48,16,22,42,36,41,35,29,45
430,37,45,38,24,35,22,34,23,21,46
431,37,27,30,5,1,3,23,19,44,36
432,30,41,39,48,31,27,25,12,2,14
433,48,4,35,25,16,23,17,34,19,31
434,50,7,40,5,13,42,39,12,38,19
435,19,22,29,46,2,12,18,16,41,30
436,44,29,3,6,28,23,7,20,47,45
437,14,48,32,9,41,19,2,17,18,34
438,13,50,15,24,31,10,49,3,14,29
439,44,37,24,27,7,45,12,34,43,9
440,37,9,44,12,48,19,45,7,22,13
441,45,34,2,4,5,36,43,6,23,1
442,30,27,23,31,7,2,3,17,48,41
443,5,36,25,35,9,12,8,42,26,33
444,45,9,6,44,36,43,33,4,27,40
445,24,19,26,48,39,9,2,38,7,21
446,3,31,36,30,35,17,14,5,28,7
447,41,28,39,11,40,26,20,10,5,43
448,32,11,2,41,44,8,20,1,16,30
449,7,12,24,31,40,5,35,4,2,27
450,35,27,36,43,15,34,32,4,45,39
451,24,3,11,17,4,7,38,6,19,43
452,15,42,7,5,9,8,18,23,13,31
453,50,22,36,35,28,34,43,13,9,44
454,50,38,11,20,27,45,5,35,30,28
455,30,40,4,9,17,34,41,42,19,6
456,11,3,29,43,31,25,39,35,28,44
457,46,13,9,39,15,31,17,6,40,34
458,44,31,27,12,6,46,8,49,29,11
459,41,28,23,18,17,31,7,47,30,37
460,3,38,25,22,33,46,36,31,9,42
461,1,27,43,11,42,33,23,47,15,24
462,38,26,32,2,9,37,39,13,19,24
463,2,29,50,13,28,44,46,33,35,11
464,1,22,43,4,49,46,12,20,27,5
465,30,7,36,45,39,33,32,3,23,14
466,16,26,42,25,30,5,13,44,21,14
467,7,48,23,42,20,10,9,12,11,34
468,42,41,35,14,27,11,15,1,50,4
469,41,22,18,50,47,44,8,12,36,39
470,30,7,43,29,23,10,32,36,18,28
471,2,3,9,25,38,5,8,49,42,50
472,11,32,50,1,3,9,23,19,31,6
473,48,3,23,1,39,6,13,10,35,29
474,46,3,8,38,14,50,11,39,27,45
475,42,23,27,43,5,3,50,34,48,26
476,1,34,35,7,10,33,43,4,42,17
477,32,6,13,46,24,5,15,33,49,10
478,39,16,8,26,38,11,15,2,30,29
479,21,17,1,13,27,36,50,8,40,15
480,44,16,9,47,38,35,22,24,37,3
481,15,10,31,9,38,4,2,11,14,3
482,20,49,13,47,39,19,46,4,33,26
483,10,7,30,49,38,6,43,23,26,17
484,15,50,43,36,42,25,38,26,35,10
485,8,48,9,25,1,36,2,27,21,24
486,12,45,47,2,14,22,46,1,18,17
487,17,32,25,3,37,48,5,34,33,31
488,32,3,48,24,43,5,33,11,8,28
489,21,41,33,40,18,46,39,5,27,24
490,43,2,20,27,35,12,36,47,13,21
491,7,21,12,2,11,42,23,31,29,22
492,33,7,36,43,9,19,14,3,12,29
493,1,7,8,20,28,18,43,50,21,27
494,8,35,21,19,33,32,46,16,18,45
495,40,12,33,26,29,4,46,42,23,41
496,44,5,30,39,42,32,21,26,22,20
497,3,36,15,8,43,47,34,9,23,4
498,44,6,36,29,38,17,33,47,19,5
499,38,43,46,42,22,13,19,45,23,6
500,49,47,17,46,28,1,32,45,20,21
501,23,31,41,42,2,18,43,49,4,20
502,5,14,6,38,30,15,36,7,39,41
503,3,7,2,49,44,16,23,48,31,43
504,43,24,26,32,47,48,28,7,1,30
505,4,11,42,6,10,48,2,31,33,50
506,48,26,44,30,4,50,1,32,20,14
507,41,49,36,40,24,19,23,39,18,37
508,19,43,17,37,2,27,50,28,26,38
509,25,1,44,8,41,37,15,23,21,4
510,30,41,20,43,15,39,36,29,42,6
511,45,18,10,50,29,41,26,17,46,7
512,3,26,50,31,8,25,44,41,49,43
513,30,2,14,6,8,38,47,9,36,17
514,28,44,1,7,49,2,43,15,36,30
515,37,1,26,27,32,34,33,48,28,46
516,25,40,43,3,45,2,42,4,33,20
517,5,40,43,38,49,36,19,27,31,33
518,14,5,46,41,4,2,42,22,47,10
519,6,20,46,29,19,5,10,18,31,15
520,17,23,48,28,6,4,30,31,29,47
521,3,36,5,31,13,27,12,23,39,45
522,15,30,38,17,48,6,39,29,26,44
523,43,40,45,18,25,4,31,11,17,41
524,39,20,38,46,4,31,44,5,27,29
525,33,13,18,32,26,14,49,17,6,36
526,49,7,26,43,1,21,40,19,3,25
527,49,32,27,22,28,43,33,13,45,38
528,13,32,24,10,42,33,16,5,34,8
529,50,33,34,2,11,21,4,7,27,18
530,39,5,2,29,11,34,25,23,38,16
531,5,35,32,17,38,25,27,2,20,21
532,27,46,47,2,7,12,37,42,31,3
533,40,6,26,25,39,37,44,47,21,23
534,9,17,20,15,6,26,37,23,30,29
535,1,18,6,8,27,22,44,28,41,4
536,12,16,50,38,31,35,28,27,13,37
537,48,17,13,45,12,9,26,43,29,49
538,21,12,48,7,15,42,3,20,13,41
539,44,33,27,10,29,31,4,41,8,36
540,28,9,49,44,8,34,30,12,15,41
541,1,20,49,16,25,22,40,15,13,11
542,39,15,42,10,31,41,50,7,28,9
543,10,36,29,2,17,32,6,13,25,18
544,44,9,22,1,40,37,34,41,20,11
545,19,10,40,35,25,27,30,17,49,13
546,1,36,2,22,18,48,50,25,47,26
547,1,23,49,21,9,30,16,39,8,4
548,41,18,21,31,20,30,12,40,34,9
549,39,22,26,46,50,33,1,20,34,8
550,11,38,9,2,42,4,29,23,12,40
551,43,36,24,32,2,26,4,6,3,1
552,33,13,34,41,16,2,49,44,27,20
553,36,42,38,48,24,4,7,31,23,3
554,6,22,35,41,20,27,7,23,16,1
555,29,26,28,14,34,47,3,19,36,13
556,16,14,9,38,5,11,50,4,35,21
557,29,4,24,3,2,27,40,22,46,36
558,10,4,27,36,35,12,6,50,46,24
559,4,17,12,28,13,27,30,5,45,6
560,48,34,22,50,11,36,28,19,30,20
561,9,13,12,17,20,8,19,35,28,30
562,45,4,16,47,12,15,13,39,5,32
563,5,46,26,9,19,14,43,1,50,3
564,31,50,29,11,25,39,34,18,17,20
565,33,7,6,43,4,12,1,34,39,11
566,12,30,22,5,26,25,34,41,31,4
567,34,9,36,12,21,32,47,4,27,30
568,40,1,12,6,31,23,28,10,19,24
569,23,14,29,9,37,3,35,7,49,22
570,10,23,2,48,29,11,46,35,44,25
571,15,30,17,44,3,38,28,12,34,39
572,24,27,47,32,23,29,12,20,33,7
573,31,44,5,14,47,35,16,24,38,28
574,47,8,3,1,14,13,23,31,48,45
575,25,39,47,41,13,23,17,16,33,9
576,29,20,19,36,37,27,11,8,3,7
577,39,50,13,27,5,46,18,38,8,24
578,5,13,33,8,37,23,44,24,46,12
579,15,28,6,47,19,46,11,17,21,34
580,42,21,41,47,43,23,38,9,22,15
581,15,25,33,6,42,50,14,20,4,34
582,4,41,44,25,36,39,1,14,31,33
583,20,24,50,2,3,22,8,26,30,37
584,26,7,14,30,32,33,29,46,36,38
585,42,49,11,15,48,31,4,33,8,27
586,2,26,31,29,19,7,22,9,42,24
587,41,22,38,44,43,46,10,39,40,50
588,38,18,50,7,47,26,39,17,22,10
589,16,15,46,8,33,40,3,48,11,36
590,10,27,28,6,8,21,38,30,34,40
591,20,21,16,4,35,33,22,38,9,25
592,18,50,35,30,28,45,22,24,33,25
593,35,8,18,11,15,28,37,5,23,40
594,20,14,41,16,24,27,17,5,28,31
595,41,2,18,23,14,39,7,13,21,6
596,46,32,35,38,42,8,19,28,49,17
597,40,8,42,30,29,1,37,14,28,34
598,10,7,26,35,38,3,25,24,41,30
599,29,17,27,15,4,35,33,21,7,30
600,3,11,26,29,47,50,1,27,30,43
601,40,13,29,38,1,49,4,19,43,12
602,7,16,38,29,30,34,47,36,26,23
603,15,38,49,11,9,31,24,10,12,25
604,12,45,21,3,7,22,35,23,50,5
605,7,16,40,28,50,12,49,1,4,22
606,8,4,40,11,10,7,14,12,19,31
607,38,26,2,39,25,45,42,14,40,18
608,4,36,16,49,27,37,15,21,32,50
609,22,47,6,48,7,41,40,21,32,3
610,9,14,19,1,16,30,21,41,15,22
611,44,20,3,13,30,15,38,23,33,50
612,32,50,29,18,14,25,2,31,19,26
613,39,44,14,16,29,11,8,24,13,30
614,29,36,16,12,6,7,28,39,17,24
615,21,6,27,36,2,33,22,23,42,20
616,7,23,43,50,38,49,40,26,20,35
617,29,22,38,30,40,18,42,23,50,21
618,28,22,7,17,6,35,49,12,5,40
619,35,37,24,11,5,10,19,20,33,47
620,7,41,37,22,14,15,13,45,35,18
621,29,4,28,5,21,22,32,8,41,26
622,27,44,41,19,9,49,8,47,35,37
623,25,5,32,23,31,24,34,48,28,27
624,48,5,31,49,9,13,11,10,2,38
625,49,10,50,8,20,38,45,24,17,26
626,40,43,20,45,29,34,8,16,38,33
627,44,46,39,17,47,32,12,15,26,13
628,35,25,19,17,10,42,33,2,45,20
629,47,21,38,17,36,40,29,34,39,1
630,33,15,50,44,14,2,11,26,43,5
631,38,32,2,39,27,48,47,50,6,7
632,46,19,7,26,23,21,11,22,44,27
633,26,41,35,12,21,48,37,28,33,3
